match_type,player_name,batting_style,main_role,matches,batting_runs,bf,fours,sixes,sr,bat_position,dismissal,opposition,ground,pitch_type,date,weather,bowling_style,overs,mdns,runs_conceded,wicket_taken,econ,bowling_pos
odi,charith_asalanka,left hand batsman,batting alrounder,1,0,6,0,0,0.0,3,caught,England,Chester-le-Street,balanced,2021-06-29,dry,No_Bowling,0.0,0.0,0.0,0,0.0,0.0
odi,charith_asalanka,left hand batsman,batting alrounder,1,3,11,0,0,27.27,5,caught,England,The Oval,Batting Friendly,2021-07-01,hot,No_Bowling,0.0,0.0,0.0,0,0.0,0.0
odi,charith_asalanka,left hand batsman,batting alrounder,1,38,65,1,0,58.46,5,caught,India,Colombo (RPS),Spin Friendly,2021-07-18,hot,No_Bowling,0.0,0.0,0.0,0,0.0,0.0
odi,charith_asalanka,left hand batsman,batting alrounder,1,65,68,6,0,95.58,5,caught,India,Colombo (RPS),Spin Friendly,2021-07-20,cloudy,No_Bowling,0.0,0.0,0.0,0,0.0,0.0
odi,charith_asalanka,left hand batsman,batting alrounder,1,24,28,3,0,85.71,5,lbw,India,Colombo (RPS),Spin Friendly,2021-07-23,cloudy,No_Bowling,0.0,0.0,0.0,0,0.0,0.0
odi,charith_asalanka,left hand batsman,batting alrounder,1,72,62,6,1,116.12,5,caught,South Africa,Colombo (RPS),Spin Friendly,2021-09-02,cloudy,No_Bowling,0.0,0.0,0.0,0,0.0,0.0
odi,charith_asalanka,left hand batsman,batting alrounder,1,77,69,5,3,111.59,5,caught,South Africa,Colombo (RPS),Spin Friendly,2021-09-04,dry,No_Bowling,0.0,0.0,0.0,0,0.0,0.0
odi,charith_asalanka,left hand batsman,batting alrounder,1,47,71,2,0,66.19,5,caught,South Africa,Colombo (RPS),Spin Friendly,2021-09-07,cloudy,No_Bowling,0.0,0.0,0.0,0,0.0,0.0
odi,charith_asalanka,left hand batsman,batting alrounder,1,71,68,6,2,104.41,5,lbw, Zimbabwe,Pallekele,Balanced,2022-01-16,cloudy,No_Bowling,0.0,0.0,0.0,0,0.0,0.0
odi,charith_asalanka,left hand batsman,batting alrounder,1,23,21,2,1,109.52,5,bowled, Zimbabwe,Pallekele,Balanced,2022-01-18,dry,No_Bowling,0.0,0.0,0.0,0,0.0,0.0
odi,charith_asalanka,left hand batsman,batting alrounder,1,52,56,5,0,92.85,5,caught, Zimbabwe,Pallekele,Balanced,2022-01-21,cloudy,No_Bowling,0.0,0.0,0.0,0,0.0,0.0
odi,charith_asalanka,left hand batsman,batting alrounder,1,37,42,4,0,88.09,5,caught, Australia,Pallekele,Balanced,2022-06-14,cloudy,No_Bowling,0.0,0.0,0.0,0,0.0,0.0
