Player_Name,Player_Type,Role,Runs,Balls_Faced,Strike_Rate,Wickets_Taken,Overs_Bowled,Runs_Conceded,Opponent_Team,Pitch_Type,Weather
Pathum Nissanka,Batsman,Batsman,39,42,92.85714286,0,0,0,India,Spin Friendly,Cloudy
Pathum Nissanka,Batsman,Batsman,61,72,84.72222222,0,0,0,Bangladesh,Bowling Friendly,Dry
Pathum Nissanka,Batsman,Batsman,68,80,85,0,0,0,Australia,Batting Friendly,Hot
Pathum Nissanka,Batsman,Batsman,11,12,91.66666667,0,0,0,Bangladesh,Batting Friendly,Hot
Pathum Nissanka,Batsman,Batsman,13,14,92.85714286,0,0,0,Bangladesh,Balanced,Cloudy
Pathum Nissanka,Batsman,Batsman,38,40,95,0,0,0,Bangladesh,Bowling Friendly,Humid
Pathum Nissanka,Batsman,Batsman,31,34,91.17647059,0,0,0,South Africa,Bowling Friendly,Dry
Pathum Nissanka,Batsman,Batsman,26,27,96.2962963,0,0,0,India,Batting Friendly,Humid
Pathum Nissanka,Batsman,Batsman,19,21,90.47619048,0,0,0,Bangladesh,Spin Friendly,Hot
Pathum Nissanka,Batsman,Batsman,38,41,92.68292683,0,0,0,Australia,Bowling Friendly,Humid
Pathum Nissanka,Batsman,Batsman,39,45,86.66666667,0,0,0,Australia,Batting Friendly,Hot
Pathum Nissanka,Batsman,Batsman,24,25,96,0,0,0,England,Balanced,Cloudy
Pathum Nissanka,Batsman,Batsman,44,47,93.61702128,0,0,0,Australia,Balanced,Dry
Pathum Nissanka,Batsman,Batsman,40,43,93.02325581,0,0,0,Pakistan,Batting Friendly,Humid
Pathum Nissanka,Batsman,Batsman,20,23,86.95652174,0,0,0,South Africa,Batting Friendly,Hot
Pathum Nissanka,Batsman,Batsman,40,46,86.95652174,0,0,0,Pakistan,Batting Friendly,Dry
Pathum Nissanka,Batsman,Batsman,0,1,0,0,0,0,India,Bowling Friendly,Hot
Pathum Nissanka,Batsman,Batsman,55,60,91.66666667,0,0,0,India,Balanced,Hot
Pathum Nissanka,Batsman,Batsman,16,17,94.11764706,0,0,0,South Africa,Spin Friendly,Humid
Pathum Nissanka,Batsman,Batsman,51,59,86.44067797,0,0,0,India,Spin Friendly,Hot
Pathum Nissanka,Batsman,Batsman,37,41,90.24390244,0,0,0,Australia,Spin Friendly,Cloudy
Pathum Nissanka,Batsman,Batsman,29,33,87.87878788,0,0,0,India,Balanced,Humid
Pathum Nissanka,Batsman,Batsman,26,27,96.2962963,0,0,0,India,Batting Friendly,Cloudy
Pathum Nissanka,Batsman,Batsman,46,49,93.87755102,0,0,0,Australia,Batting Friendly,Cloudy
Pathum Nissanka,Batsman,Batsman,28,31,90.32258065,0,0,0,Bangladesh,Bowling Friendly,Cloudy
Pathum Nissanka,Batsman,Batsman,25,26,96.15384615,0,0,0,India,Balanced,Hot
Pathum Nissanka,Batsman,Batsman,19,22,86.36363636,0,0,0,Pakistan,Spin Friendly,Hot
Pathum Nissanka,Batsman,Batsman,42,46,91.30434783,0,0,0,South Africa,Spin Friendly,Hot
Pathum Nissanka,Batsman,Batsman,34,36,94.44444444,0,0,0,Pakistan,Batting Friendly,Cloudy
Pathum Nissanka,Batsman,Batsman,25,27,92.59259259,0,0,0,Bangladesh,Spin Friendly,Cloudy
